"el_idx"	"x"	"y"
302	1860.3	147.093
303	1876.5	137.299
304	1892.7	147.093
305	1908.9	137.299
306	175.5	147.093
307	191.7	156.887
308	207.9	147.093
309	240.3	166.681
310	256.5	176.475
311	272.7	166.681
312	288.9	176.475
313	305.1	166.681
314	321.3	156.887
315	337.5	166.681
316	353.7	156.887
317	369.9	166.681
318	386.1	156.887
319	402.3	166.681
320	418.5	156.887
321	434.7	166.681
322	450.9	156.887
323	467.1	147.093
324	483.3	156.887
325	499.5	147.093
326	531.9	166.681
327	548.1	176.475
328	564.3	166.681
329	580.5	176.475
330	596.7	166.681
331	612.9	156.887
332	629.1	166.681
333	645.3	156.887
334	661.5	166.681
335	677.7	156.887
336	693.9	166.681
337	710.1	156.887
338	726.3	166.681
339	742.5	156.887
340	758.7	147.093
341	774.9	156.887
342	791.1	147.093
343	823.5	166.681
344	839.7	176.475
345	855.9	166.681
346	872.1	176.475
347	888.3	166.681
348	904.5	156.887
349	920.7	166.681
350	936.9	156.887
351	953.1	166.681
352	969.3	156.887
353	985.5	166.681
354	1001.7	156.887
355	1017.9	166.681
356	1034.1	156.887
357	1050.3	147.093
358	1066.5	156.887
359	1082.7	147.093
360	1115.1	166.681
361	1131.3	176.475
362	1147.5	166.681
363	1163.7	176.475
364	1179.9	166.681
365	1196.1	156.887
366	1212.3	166.681
367	1228.5	156.887
368	1244.7	166.681
369	1260.9	156.887
370	1277.1	166.681
371	1293.3	156.887
372	1309.5	166.681
373	1325.7	156.887
374	1341.9	147.093
375	1358.1	156.887
376	1374.3	147.093
377	1406.7	166.681
378	1422.9	176.475
379	1439.1	166.681
380	1455.3	176.475
381	1471.5	166.681
382	1487.7	156.887
383	1503.9	166.681
384	1520.1	156.887
385	1536.3	166.681
386	1552.5	156.887
387	1568.7	166.681
388	1584.9	156.887
389	1601.1	166.681
390	1617.3	156.887
391	1633.5	147.093
392	1649.7	156.887
393	1665.9	147.093
394	1698.3	166.681
395	1714.5	176.475
396	1730.7	166.681
397	1746.9	176.475
398	1763.1	166.681
399	1779.3	156.887
400	1795.5	166.681
401	1811.7	156.887
402	1827.9	166.681
403	1844.1	156.887
404	1860.3	166.681
405	1876.5	156.887
406	1892.7	166.681
407	1908.9	156.887
408	175.5	166.681
409	191.7	176.475
410	207.9	166.681
411	224.1	176.475
412	256.5	196.064
413	272.7	186.27
414	288.9	196.064
415	305.1	186.27
416	321.3	176.475
417	337.5	186.27
418	353.7	176.475
419	369.9	186.27
420	386.1	176.475
421	402.3	186.27
422	418.5	176.475
423	434.7	186.27
424	450.9	176.475
425	467.1	166.681
426	483.3	176.475
427	499.5	166.681
428	515.7	176.475
429	548.1	196.064
430	564.3	186.27
431	580.5	196.064
432	596.7	186.27
433	612.9	176.475
434	629.1	186.27
435	645.3	176.475
436	661.5	186.27
437	677.7	176.475
438	693.9	186.27
439	710.1	176.475
440	726.3	186.27
441	742.5	176.475
442	758.7	166.681
443	774.9	176.475
444	791.1	166.681
445	807.3	176.475
446	839.7	196.064
447	855.9	186.27
448	872.1	196.064
449	888.3	186.27
450	904.5	176.475
451	920.7	186.27
452	936.9	176.475
453	953.1	186.27
454	969.3	176.475
455	985.5	186.27
456	1001.7	176.475
457	1017.9	186.27
458	1034.1	176.475
459	1050.3	166.681
460	1066.5	176.475
461	1082.7	166.681
462	1098.9	176.475
463	1131.3	196.064
464	1147.5	186.27
465	1163.7	196.064
466	1179.9	186.27
467	1196.1	176.475
468	1212.3	186.27
469	1228.5	176.475
470	1244.7	186.27
471	1260.9	176.475
472	1277.1	186.27
473	1293.3	176.475
474	1309.5	186.27
475	1325.7	176.475
476	1341.9	166.681
477	1358.1	176.475
478	1374.3	166.681
479	1390.5	176.475
480	1422.9	196.064
481	1439.1	186.27
482	1455.3	196.064
483	1471.5	186.27
484	1487.7	176.475
485	1503.9	186.27
486	1520.1	176.475
487	1536.3	186.27
488	1552.5	176.475
489	1568.7	186.27
490	1584.9	176.475
491	1601.1	186.27
492	1617.3	176.475
493	1633.5	166.681
494	1649.7	176.475
495	1665.9	166.681
496	1682.1	176.475
497	1714.5	196.064
498	1730.7	186.27
499	1746.9	196.064
500	1763.1	186.27
501	1779.3	176.475
502	1795.5	186.27
503	1811.7	176.475
504	1827.9	186.27
505	1844.1	176.475
506	1860.3	186.27
507	1876.5	176.475
508	1892.7	186.27
509	1908.9	176.475
510	175.5	186.27
511	191.7	196.064
512	207.9	186.27
513	224.1	196.064
514	240.3	186.27
515	272.7	205.858
516	288.9	215.652
517	305.1	205.858
518	321.3	196.064
519	337.5	205.858
520	353.7	196.064
521	369.9	205.858
522	386.1	196.064
523	402.3	205.858
524	418.5	196.064
525	434.7	205.858
526	450.9	196.064
527	467.1	186.27
528	483.3	196.064
529	499.5	186.27
530	515.7	196.064
531	531.9	186.27
532	564.3	205.858
533	580.5	215.652
534	596.7	205.858
535	612.9	196.064
536	629.1	205.858
537	645.3	196.064
538	661.5	205.858
539	677.7	196.064
540	693.9	205.858
541	710.1	196.064
542	726.3	205.858
543	742.5	196.064
544	758.7	186.27
545	774.9	196.064
546	791.1	186.27
547	807.3	196.064
548	823.5	186.27
549	855.9	205.858
550	872.1	215.652
551	888.3	205.858
552	904.5	196.064
553	920.7	205.858
554	936.9	196.064
555	953.1	205.858
556	969.3	196.064
557	985.5	205.858
558	1001.7	196.064
559	1017.9	205.858
560	1034.1	196.064
561	1050.3	186.27
562	1066.5	196.064
563	1082.7	186.27
564	1098.9	196.064
565	1115.1	186.27
566	1147.5	205.858
567	1163.7	215.652
568	1179.9	205.858
569	1196.1	196.064
570	1212.3	205.858
571	1228.5	196.064
572	1244.7	205.858
573	1260.9	196.064
574	1277.1	205.858
575	1293.3	196.064
576	1309.5	205.858
577	1325.7	196.064
578	1341.9	186.27
579	1358.1	196.064
580	1374.3	186.27
581	1390.5	196.064
582	1406.7	186.27
583	1439.1	205.858
584	1455.3	215.652
585	1471.5	205.858
586	1487.7	196.064
587	1503.9	205.858
588	1520.1	196.064
589	1536.3	205.858
590	1552.5	196.064
591	1568.7	205.858
592	1584.9	196.064
593	1601.1	205.858
594	1617.3	196.064
595	1633.5	186.27
596	1649.7	196.064
597	1665.9	186.27
598	1682.1	196.064
599	1698.3	186.27
600	1730.7	205.858
601	1746.9	215.652
602	1763.1	205.858
603	1779.3	196.064
604	1795.5	205.858
605	1811.7	196.064
606	1827.9	205.858
607	1844.1	196.064
608	1860.3	205.858
609	1876.5	196.064
610	1892.7	205.858
611	1908.9	196.064
612	175.5	205.858
613	191.7	215.652
614	207.9	205.858
615	224.1	215.652
616	240.3	205.858
617	256.5	215.652
618	288.9	235.24
619	305.1	225.446
620	321.3	215.652
621	337.5	225.446
622	353.7	215.652
623	369.9	225.446
624	386.1	215.652
625	402.3	225.446
626	418.5	215.652
627	434.7	225.446
628	450.9	215.652
629	467.1	205.858
630	483.3	215.652
631	499.5	205.858
632	515.7	215.652
633	531.9	205.858
634	548.1	215.652
635	580.5	235.24
636	596.7	225.446
637	612.9	215.652
638	629.1	225.446
639	645.3	215.652
640	661.5	225.446
641	677.7	215.652
642	693.9	225.446
643	710.1	215.652
644	726.3	225.446
645	742.5	215.652
646	758.7	205.858
647	774.9	215.652
648	791.1	205.858
649	807.3	215.652
650	823.5	205.858
651	839.7	215.652
652	872.1	235.24
653	888.3	225.446
654	904.5	215.652
655	920.7	225.446
656	936.9	215.652
657	953.1	225.446
658	969.3	215.652
659	985.5	225.446
660	1001.7	215.652
661	1017.9	225.446
662	1034.1	215.652
663	1050.3	205.858
664	1066.5	215.652
665	1082.7	205.858
666	1098.9	215.652
667	1115.1	205.858
668	1131.3	215.652
669	1163.7	235.24
670	1179.9	225.446
671	1196.1	215.652
672	1212.3	225.446
673	1228.5	215.652
674	1244.7	225.446
675	1260.9	215.652
676	1277.1	225.446
677	1293.3	215.652
678	1309.5	225.446
679	1325.7	215.652
680	1341.9	205.858
681	1358.1	215.652
682	1374.3	205.858
683	1390.5	215.652
684	1406.7	205.858
685	1422.9	215.652
686	1455.3	235.24
687	1471.5	225.446
688	1487.7	215.652
689	1503.9	225.446
690	1520.1	215.652
691	1536.3	225.446
692	1552.5	215.652
693	1568.7	225.446
694	1584.9	215.652
695	1601.1	225.446
696	1617.3	215.652
697	1633.5	205.858
698	1649.7	215.652
699	1665.9	205.858
700	1682.1	215.652
701	1698.3	205.858
702	1714.5	215.652
703	1746.9	235.24
704	1763.1	225.446
705	1779.3	215.652
706	1795.5	225.446
707	1811.7	215.652
708	1827.9	225.446
709	1844.1	215.652
710	1860.3	225.446
711	1876.5	215.652
712	1892.7	225.446
713	1908.9	215.652
714	175.5	225.446
715	191.7	235.24
716	207.9	225.446
717	224.1	235.24
718	240.3	225.446
719	256.5	235.24
720	272.7	225.446
721	305.1	245.034
722	321.3	235.24
723	337.5	245.034
724	353.7	235.24
725	369.9	245.034
726	386.1	235.24
727	402.3	245.034
728	418.5	235.24
729	434.7	245.034
730	450.9	235.24
731	467.1	225.446
732	483.3	235.24
733	499.5	225.446
734	515.7	235.24
735	531.9	225.446
736	548.1	235.24
737	564.3	225.446
738	596.7	245.034
739	612.9	235.24
740	629.1	245.034
741	645.3	235.24
742	661.5	245.034
743	677.7	235.24
744	693.9	245.034
745	710.1	235.24
746	726.3	245.034
747	742.5	235.24
748	758.7	225.446
749	774.9	235.24
750	791.1	225.446
751	807.3	235.24
752	823.5	225.446
753	839.7	235.24
754	855.9	225.446
755	888.3	245.034
756	904.5	235.24
757	920.7	245.034
758	936.9	235.24
759	953.1	245.034
760	969.3	235.24
761	985.5	245.034
762	1001.7	235.24
763	1017.9	245.034
764	1034.1	235.24
765	1050.3	225.446
766	1066.5	235.24
767	1082.7	225.446
768	1098.9	235.24
769	1115.1	225.446
770	1131.3	235.24
771	1147.5	225.446
772	1179.9	245.034
773	1196.1	235.24
774	1212.3	245.034
775	1228.5	235.24
776	1244.7	245.034
777	1260.9	235.24
778	1277.1	245.034
779	1293.3	235.24
780	1309.5	245.034
781	1325.7	235.24
782	1341.9	225.446
783	1358.1	235.24
784	1374.3	225.446
785	1390.5	235.24
786	1406.7	225.446
787	1422.9	235.24
788	1439.1	225.446
789	1471.5	245.034
790	1487.7	235.24
791	1503.9	245.034
792	1520.1	235.24
793	1536.3	245.034
794	1552.5	235.24
795	1568.7	245.034
796	1584.9	235.24
797	1601.1	245.034
798	1617.3	235.24
799	1633.5	225.446
800	1649.7	235.24
801	1665.9	225.446
802	1682.1	235.24
803	1698.3	225.446
804	1714.5	235.24
805	1730.7	225.446
806	1763.1	245.034
807	1779.3	235.24
808	1795.5	245.034
809	1811.7	235.24
810	1827.9	245.034
811	1844.1	235.24
812	1860.3	245.034
813	1876.5	235.24
814	1892.7	245.034
815	1908.9	235.24
816	175.5	245.034
817	191.7	254.828
818	207.9	245.034
819	224.1	254.828
820	240.3	245.034
821	256.5	254.828
822	272.7	245.034
823	288.9	254.828
824	321.3	254.828
825	337.5	264.623
826	353.7	254.828
827	369.9	264.623
828	386.1	254.828
829	402.3	264.623
830	418.5	254.828
831	434.7	264.623
832	450.9	254.828
833	467.1	245.034
834	483.3	254.828
835	499.5	245.034
836	515.7	254.828
837	531.9	245.034
838	548.1	254.828
839	564.3	245.034
840	580.5	254.828
841	612.9	254.828
842	629.1	264.623
843	645.3	254.828
844	661.5	264.623
845	677.7	254.828
846	693.9	264.623
847	710.1	254.828
848	726.3	264.623
849	742.5	254.828
850	758.7	245.034
851	774.9	254.828
852	791.1	245.034
853	807.3	254.828
854	823.5	245.034
855	839.7	254.828
856	855.9	245.034
857	872.1	254.828
858	904.5	254.828
859	920.7	264.623
860	936.9	254.828
861	953.1	264.623
862	969.3	254.828
863	985.5	264.623
864	1001.7	254.828
865	1017.9	264.623
866	1034.1	254.828
867	1050.3	245.034
868	1066.5	254.828
869	1082.7	245.034
870	1098.9	254.828
871	1115.1	245.034
872	1131.3	254.828
873	1147.5	245.034
874	1163.7	254.828
875	1196.1	254.828
876	1212.3	264.623
877	1228.5	254.828
878	1244.7	264.623
879	1260.9	254.828
880	1277.1	264.623
881	1293.3	254.828
882	1309.5	264.623
883	1325.7	254.828
884	1341.9	245.034
885	1358.1	254.828
886	1374.3	245.034
887	1390.5	254.828
888	1406.7	245.034
889	1422.9	254.828
890	1439.1	245.034
891	1455.3	254.828
892	1487.7	254.828
893	1503.9	264.623
894	1520.1	254.828
895	1536.3	264.623
896	1552.5	254.828
897	1568.7	264.623
898	1584.9	254.828
899	1601.1	264.623
900	1617.3	254.828
901	1633.5	245.034
902	1649.7	254.828
903	1665.9	245.034
904	1682.1	254.828
905	1698.3	245.034
906	1714.5	254.828
907	1730.7	245.034
908	1746.9	254.828
909	1779.3	254.828
910	1795.5	264.623
911	1811.7	254.828
912	1827.9	264.623
913	1844.1	254.828
914	1860.3	264.623
915	1876.5	254.828
916	1892.7	264.623
917	1908.9	254.828
918	175.5	264.623
919	191.7	274.417
920	207.9	264.623
921	224.1	274.417
922	240.3	264.623
923	256.5	274.417
924	272.7	264.623
925	288.9	274.417
926	305.1	264.623
927	337.5	284.211
928	353.7	274.417
929	369.9	284.211
930	386.1	274.417
931	402.3	284.211
932	418.5	274.417
933	434.7	284.211
934	450.9	274.417
935	467.1	264.623
936	483.3	274.417
937	499.5	264.623
938	515.7	274.417
939	531.9	264.623
940	548.1	274.417
941	564.3	264.623
942	580.5	274.417
943	596.7	264.623
944	629.1	284.211
945	645.3	274.417
946	661.5	284.211
947	677.7	274.417
948	693.9	284.211
949	710.1	274.417
950	726.3	284.211
951	742.5	274.417
952	758.7	264.623
953	774.9	274.417
954	791.1	264.623
955	807.3	274.417
956	823.5	264.623
957	839.7	274.417
958	855.9	264.623
959	872.1	274.417
960	888.3	264.623
961	920.7	284.211
962	936.9	274.417
963	953.1	284.211
964	969.3	274.417
965	985.5	284.211
966	1001.7	274.417
967	1017.9	284.211
968	1034.1	274.417
969	1050.3	264.623
970	1066.5	274.417
971	1082.7	264.623
972	1098.9	274.417
973	1115.1	264.623
974	1131.3	274.417
975	1147.5	264.623
976	1163.7	274.417
977	1179.9	264.623
978	1212.3	284.211
979	1228.5	274.417
980	1244.7	284.211
981	1260.9	274.417
982	1277.1	284.211
983	1293.3	274.417
984	1309.5	284.211
985	1325.7	274.417
986	1341.9	264.623
987	1358.1	274.417
988	1374.3	264.623
989	1390.5	274.417
990	1406.7	264.623
991	1422.9	274.417
992	1439.1	264.623
993	1455.3	274.417
994	1471.5	264.623
995	1503.9	284.211
996	1520.1	274.417
997	1536.3	284.211
998	1552.5	274.417
999	1568.7	284.211
1000	1584.9	274.417
1001	1601.1	284.211
1002	1617.3	274.417
1003	1633.5	264.623
1004	1649.7	274.417
1005	1665.9	264.623
1006	1682.1	274.417
1007	1698.3	264.623
1008	1714.5	274.417
1009	1730.7	264.623
1010	1746.9	274.417
1011	1763.1	264.623
1012	1795.5	284.211
1013	1811.7	274.417
1014	1827.9	284.211
1015	1844.1	274.417
1016	1860.3	284.211
1017	1876.5	274.417
1018	1892.7	284.211
1019	1908.9	274.417
1020	175.5	284.211
1021	191.7	294.005
1022	207.9	284.211
1023	224.1	294.005
1024	240.3	284.211
1025	256.5	294.005
1026	272.7	284.211
1027	288.9	294.005
1028	305.1	284.211
1029	321.3	274.417
1030	353.7	294.005
1031	369.9	303.799
1032	386.1	294.005
1033	402.3	303.799
1034	418.5	294.005
1035	434.7	303.799
1036	450.9	294.005
1037	467.1	284.211
1038	483.3	294.005
1039	499.5	284.211
1040	515.7	294.005
1041	531.9	284.211
1042	548.1	294.005
1043	564.3	284.211
1044	580.5	294.005
1045	596.7	284.211
1046	612.9	274.417
1047	645.3	294.005
1048	661.5	303.799
1049	677.7	294.005
1050	693.9	303.799
1051	710.1	294.005
1052	726.3	303.799
1053	742.5	294.005
1054	758.7	284.211
1055	774.9	294.005
1056	791.1	284.211
1057	807.3	294.005
1058	823.5	284.211
1059	839.7	294.005
1060	855.9	284.211
1061	872.1	294.005
1062	888.3	284.211
1063	904.5	274.417
1064	936.9	294.005
1065	953.1	303.799
1066	969.3	294.005
1067	985.5	303.799
1068	1001.7	294.005
1069	1017.9	303.799
1070	1034.1	294.005
1071	1050.3	284.211
1072	1066.5	294.005
1073	1082.7	284.211
1074	1098.9	294.005
1075	1115.1	284.211
1076	1131.3	294.005
1077	1147.5	284.211
1078	1163.7	294.005
1079	1179.9	284.211
1080	1196.1	274.417
1081	1228.5	294.005
1082	1244.7	303.799
1083	1260.9	294.005
1084	1277.1	303.799
1085	1293.3	294.005
1086	1309.5	303.799
1087	1325.7	294.005
1088	1341.9	284.211
1089	1358.1	294.005
1090	1374.3	284.211
1091	1390.5	294.005
1092	1406.7	284.211
1093	1422.9	294.005
1094	1439.1	284.211
1095	1455.3	294.005
1096	1471.5	284.211
1097	1487.7	274.417
1098	1520.1	294.005
1099	1536.3	303.799
1100	1552.5	294.005
1101	1568.7	303.799
1102	1584.9	294.005
1103	1601.1	303.799
1104	1617.3	294.005
1105	1633.5	284.211
1106	1649.7	294.005
1107	1665.9	284.211
1108	1682.1	294.005
1109	1698.3	284.211
1110	1714.5	294.005
1111	1730.7	284.211
1112	1746.9	294.005
1113	1763.1	284.211
1114	1779.3	274.417
1115	1811.7	294.005
1116	1827.9	303.799
1117	1844.1	294.005
1118	1860.3	303.799
1119	1876.5	294.005
1120	1892.7	303.799
1121	1908.9	294.005
1122	175.5	303.799
1123	191.7	313.593
1124	207.9	303.799
1125	224.1	313.593
1126	240.3	303.799
1127	256.5	313.593
1128	272.7	303.799
1129	288.9	313.593
1130	305.1	303.799
1131	321.3	294.005
1132	337.5	303.799
1133	369.9	323.387
1134	386.1	313.593
1135	402.3	323.387
1136	418.5	313.593
1137	434.7	323.387
1138	450.9	313.593
1139	467.1	303.799
1140	483.3	313.593
1141	499.5	303.799
1142	515.7	313.593
1143	531.9	303.799
1144	548.1	313.593
1145	564.3	303.799
1146	580.5	313.593
1147	596.7	303.799
1148	612.9	294.005
1149	629.1	303.799
1150	661.5	323.387
1151	677.7	313.593
1152	693.9	323.387
1153	710.1	313.593
1154	726.3	323.387
1155	742.5	313.593
1156	758.7	303.799
1157	774.9	313.593
1158	791.1	303.799
1159	807.3	313.593
1160	823.5	303.799
1161	839.7	313.593
1162	855.9	303.799
1163	872.1	313.593
1164	888.3	303.799
1165	904.5	294.005
1166	920.7	303.799
1167	953.1	323.387
1168	969.3	313.593
1169	985.5	323.387
1170	1001.7	313.593
1171	1017.9	323.387
1172	1034.1	313.593
1173	1050.3	303.799
1174	1066.5	313.593
1175	1082.7	303.799
1176	1098.9	313.593
1177	1115.1	303.799
1178	1131.3	313.593
1179	1147.5	303.799
1180	1163.7	313.593
1181	1179.9	303.799
1182	1196.1	294.005
1183	1212.3	303.799
1184	1244.7	323.387
1185	1260.9	313.593
1186	1277.1	323.387
1187	1293.3	313.593
1188	1309.5	323.387
1189	1325.7	313.593
1190	1341.9	303.799
1191	1358.1	313.593
1192	1374.3	303.799
1193	1390.5	313.593
1194	1406.7	303.799
1195	1422.9	313.593
1196	1439.1	303.799
1197	1455.3	313.593
1198	1471.5	303.799
1199	1487.7	294.005
1200	1503.9	303.799
1201	1536.3	323.387
1202	1552.5	313.593
1203	1568.7	323.387
1204	1584.9	313.593
1205	1601.1	323.387
1206	1617.3	313.593
1207	1633.5	303.799
1208	1649.7	313.593
1209	1665.9	303.799
1210	1682.1	313.593
1211	1698.3	303.799
1212	1714.5	313.593
1213	1730.7	303.799
1214	1746.9	313.593
1215	1763.1	303.799
1216	1779.3	294.005
1217	1795.5	303.799
1218	1827.9	323.387
1219	1844.1	313.593
1220	1860.3	323.387
1221	1876.5	313.593
1222	1892.7	323.387
1223	1908.9	313.593
1224	175.5	323.387
1225	191.7	333.181
1226	207.9	323.387
1227	224.1	333.181
1228	240.3	323.387
1229	256.5	333.181
1230	272.7	323.387
1231	288.9	333.181
1232	305.1	323.387
1233	321.3	313.593
1234	337.5	323.387
1235	353.7	313.593
1236	386.1	333.181
1237	402.3	342.975
1238	418.5	333.181
1239	434.7	342.975
1240	450.9	333.181
1241	467.1	323.387
1242	483.3	333.181
1243	499.5	323.387
1244	515.7	333.181
1245	531.9	323.387
1246	548.1	333.181
1247	564.3	323.387
1248	580.5	333.181
1249	596.7	323.387
1250	612.9	313.593
1251	629.1	323.387
1252	645.3	313.593
1253	677.7	333.181
1254	693.9	342.975
1255	710.1	333.181
1256	726.3	342.975
1257	742.5	333.181
1258	758.7	323.387
1259	774.9	333.181
1260	791.1	323.387
1261	807.3	333.181
1262	823.5	323.387
1263	839.7	333.181
1264	855.9	323.387
1265	872.1	333.181
1266	888.3	323.387
1267	904.5	313.593
1268	920.7	323.387
1269	936.9	313.593
1270	969.3	333.181
1271	985.5	342.975
1272	1001.7	333.181
1273	1017.9	342.975
1274	1034.1	333.181
1275	1050.3	323.387
1276	1066.5	333.181
1277	1082.7	323.387
1278	1098.9	333.181
1279	1115.1	323.387
1280	1131.3	333.181
1281	1147.5	323.387
1282	1163.7	333.181
1283	1179.9	323.387
1284	1196.1	313.593
1285	1212.3	323.387
1286	1228.5	313.593
1287	1260.9	333.181
1288	1277.1	342.975
1289	1293.3	333.181
1290	1309.5	342.975
1291	1325.7	333.181
1292	1341.9	323.387
1293	1358.1	333.181
1294	1374.3	323.387
1295	1390.5	333.181
1296	1406.7	323.387
1297	1422.9	333.181
1298	1439.1	323.387
